系别	英雄	成员	战力	组别	
神秘	断头台	瑪嘉烈		二组	
神秘	hood	瑪嘉烈	3045	二组	
神秘	铁拳	瑪嘉烈	3466	二组	
神秘	白铁拳	瑪嘉烈		二组	
神秘	红坦克	瑪嘉烈	3902	二组	
神秘	洛基	瑪嘉烈		二组	
神秘	魔术女	瑪嘉烈	3791	二组	
神秘	莫度	瑪嘉烈		二组	
神秘	女巫	瑪嘉烈		二组	
神秘	女雷神	瑪嘉烈		二组	
神秘	无敌钢人	瑪嘉烈	2879	二组	
变异	天使	瑪嘉烈	3076	二组	
变异	蓝兽	瑪嘉烈		二组	
变异	电索	瑪嘉烈		二组	
变异	钢人	瑪嘉烈	3046	二组	
变异	独眼龙	瑪嘉烈	3846	二组	
变异	独眼龙90s	瑪嘉烈		二组	
变异	死侍	瑪嘉烈		二组	
变异	x死侍	瑪嘉烈		二组	
变异	牌王	瑪嘉烈	3059	二组	
变异	冰人	瑪嘉烈	5582	二组	
变异	万磁王	瑪嘉烈	3119	二组	
变异	白色万磁王	瑪嘉烈	3174	二组	
变异	夜行	瑪嘉烈	3996	二组	
变异	灵蝶	瑪嘉烈		二组	
变异	小淘气	瑪嘉烈		二组	
变异	暴风	瑪嘉烈	2961	二组	
变异	金刚狼	瑪嘉烈	2659	二组	
变异	老年金刚狼	瑪嘉烈	3060	二组	
变异	x23	瑪嘉烈	4180	二组	
科技	章鱼博士	瑪嘉烈		二组	
科技	绿魔	瑪嘉烈		二组	
科技	毒奥创	瑪嘉烈		二组	
宇宙	安吉拉	Special		三组	
宇宙	黑蝠王	Special	4260	三组	
宇宙	惊奇队长	Special		三组	
宇宙	杀戮	Special		三组	
宇宙	德拉克斯	Special	3955	三组	
宇宙	卡莫拉	Special	4430	三组	
宇宙	格鲁特	Special		三组	
宇宙	超人	Special	6154	三组	
宇宙	黑妹	Special	3423	三组	
宇宙	king格鲁特	Special		三组	
宇宙	惊奇小姐	Special	4148	三组	
宇宙	凤凰	Special	6801	三组	
宇宙	罗南	Special	5952	三组	
宇宙	共生体	Special	4247	三组	
宇宙	究极钢铁侠	Special	3319	三组	
宇宙	灭霸	Special		三组	
宇宙	雷神	Special	6089	三组	
宇宙	毒液	Special	3140	三组	
宇宙	毒液死侍	Special	3298	三组	
科技	内战勇士	Special	3420	三组	
科技	霍华德	Special	3090	三组	
科技	浩克毁灭者	Special	3044	三组	
科技	钢铁侠	Special	2900	三组	
科技	钢铁爱国者	Special	3239	三组	
科技	康	Special		三组	
科技	星云	Special		三组	
科技	punisher2099	Special		三组	
科技	浣熊	Special	6327	三组	
科技	科技蜘蛛	Special		三组	
科技	星爵	Special	5500	三组	
科技	影幻	Special	5500	三组	
科技	奥创	Special		三组	
科技	漫幻	Special		三组	
科技	秃鹰	Special		三组	
科技	战争机器	Special	3203	三组	
科技	勇度	Special		三组	
格斗	毒液特工	Special	6187	三组	
格斗	黑豹	Special	3824	三组	
格斗	内战黑豹	Special	3364	三组	
格斗	黑寡妇	Special		三组	
格斗	交叉骨	Special	6054	三组	
格斗	夜魔侠	Special	4238	三组	
格斗	非经典夜魔侠	Special	3204	三组	
格斗	艾丽卡	Special	4601	三组	
格斗	猎鹰	Special	3487	三组	
格斗	格纹死侍	Special	6361	三组	
格斗	鹰眼	Special	3064	三组	
格斗	卡尔耐克	Special	6400	三组	
格斗	月光骑士	Special	3182	三组	
格斗	惩罚者	Special	4109	三组	
格斗	冬兵	Special	4056	三组	
生化	恶煞	Special	3154	三组	
生化	蚁人	Special	3089	三组	
生化	美国队长	Special	3082	三组	
生化	二战美队	Special	5961	三组	
生化	电王	Special	2887	三组	
生化	浩克	Special	2498	三组	
生化	灰浩克	Special		三组	
生化	卢克凯奇	Special	3201	三组	
生化	余波	Special	6739	三组	
生化	红浩克	Special	6235	三组	
生化	犀牛	Special	4129	三组	
生化	女浩克	Special	3298	三组	
生化	女蜘蛛	Special	3287	三组	
生化	黑蜘蛛	Special	4365	三组	
生化	黄蜂	Special	4160	三组	
生化	蜘蛛侠	Special	4234	三组	
神秘	多满魔	Special		三组	
神秘	博士	Special	5625	三组	
神秘	巫医	Special	6740	三组	
神秘	恶灵	Special	6509	三组	
神秘	断头台	Special	4505	三组	
神秘	hood	Special		三组	
神秘	铁拳	Special	3200	三组	
神秘	白铁拳	Special		三组	
神秘	红坦克	Special	3084	三组	
神秘	洛基	Special	3667	三组	
神秘	魔术女	Special		三组	
神秘	莫度	Special	3842	三组	
神秘	女巫	Special	5678	三组	
神秘	女雷神	Special		三组	
神秘	无敌钢人	Special	4039	三组	
变异	天使	Special		三组	
变异	蓝兽	Special	2914	三组	
变异	电索	Special	3148	三组	
变异	钢人	Special	4225	三组	
变异	独眼龙	Special	4087	三组	
变异	独眼龙90s	Special	8340	三组	
变异	死侍	Special		三组	
变异	x死侍	Special	3488	三组	
变异	牌王	Special	3355	三组	
变异	冰人	Special		三组	
变异	万磁王	Special	3245	三组	
变异	白色万磁王	Special	3370	三组	
变异	夜行	Special	3181	三组	
变异	灵蝶	Special		三组	
变异	小淘气	Special	6595	三组	
变异	暴风	Special	4076	三组	
变异	金刚狼	Special		三组	
变异	老年金刚狼	Special	3225	三组	
变异	x23	Special	5723	三组	
科技	章鱼博士	Special		三组	
科技	绿魔	Special		三组	
科技	毒奥创	Special		三组	
宇宙	安吉拉	Gawd69		三组	
宇宙	黑蝠王	Gawd69		三组	
宇宙	惊奇队长	Gawd69	3799	三组	
宇宙	杀戮	Gawd69		三组	
宇宙	德拉克斯	Gawd69	3163	三组	
宇宙	卡莫拉	Gawd69		三组	
宇宙	格鲁特	Gawd69		三组	
宇宙	超人	Gawd69		三组	
宇宙	黑妹	Gawd69		三组	
宇宙	king格鲁特	Gawd69		三组	
宇宙	惊奇小姐	Gawd69		三组	
宇宙	凤凰	Gawd69	6477	三组	
宇宙	罗南	Gawd69		三组	
宇宙	共生体	Gawd69		三组	
宇宙	究极钢铁侠	Gawd69	3259	三组	
宇宙	灭霸	Gawd69		三组	
宇宙	雷神	Gawd69	5982	三组	
宇宙	毒液	Gawd69	3014	三组	
宇宙	毒液死侍	Gawd69	3160	三组	
科技	内战勇士	Gawd69		三组	
科技	霍华德	Gawd69		三组	
科技	浩克毁灭者	Gawd69		三组	
科技	钢铁侠	Gawd69	3822	三组	
科技	钢铁爱国者	Gawd69	2985	三组	
科技	康	Gawd69		三组	
科技	星云	Gawd69	3025	三组	
科技	punisher2099	Gawd69		三组	
科技	浣熊	Gawd69	3357	三组	
科技	科技蜘蛛	Gawd69		三组	
科技	星爵	Gawd69	5432	三组	
科技	影幻	Gawd69		三组	
科技	奥创	Gawd69	5789	三组	
科技	漫幻	Gawd69	5395	三组	
科技	秃鹰	Gawd69		三组	
科技	战争机器	Gawd69	3094	三组	
科技	勇度	Gawd69		三组	
变异	天使	Gawd69		三组	
变异	蓝兽	Gawd69	3257	三组	
变异	电索	Gawd69		三组	
变异	钢人	Gawd69	7639	三组	
变异	独眼龙	Gawd69		三组	
变异	独眼龙90s	Gawd69	3871	三组	
变异	死侍	Gawd69		三组	
变异	x死侍	Gawd69		三组	
变异	牌王	Gawd69		三组	
变异	冰人	Gawd69		三组	
变异	万磁王	Gawd69		三组	
变异	白色万磁王	Gawd69	3239	三组	
变异	夜行	Gawd69		三组	
变异	灵蝶	Gawd69		三组	
变异	小淘气	Gawd69	6282	三组	
变异	暴风	Gawd69	3293	三组	
变异	金刚狼	Gawd69		三组	
变异	老年金刚狼	Gawd69	2839	三组	
变异	x23	Gawd69	5648	三组	
格斗	毒液特工	Gawd69	5933	三组	
格斗	黑豹	Gawd69	3690	三组	
格斗	内战黑豹	Gawd69	3840	三组	
格斗	黑寡妇	Gawd69	4199	三组	
格斗	交叉骨	Gawd69	5941	三组	
格斗	夜魔侠	Gawd69		三组	
格斗	非经典夜魔侠	Gawd69		三组	
格斗	艾丽卡	Gawd69	5796	三组	
格斗	猎鹰	Gawd69		三组	
格斗	格纹死侍	Gawd69		三组	
格斗	鹰眼	Gawd69		三组	
格斗	卡尔耐克	Gawd69		三组	
格斗	月光骑士	Gawd69		三组	
格斗	惩罚者	Gawd69		三组	
格斗	冬兵	Gawd69	3790	三组	
生化	恶煞	Gawd69	3139	三组	
生化	蚁人	Gawd69	2899	三组	
生化	美国队长	Gawd69		三组	
生化	二战美队	Gawd69	5830	三组	
生化	电王	Gawd69	4314	三组	
生化	浩克	Gawd69	5375	三组	
生化	灰浩克	Gawd69		三组	
生化	卢克凯奇	Gawd69	3099	三组	
生化	余波	Gawd69	6313	三组	
生化	红浩克	Gawd69	3196	三组	
生化	犀牛	Gawd69		三组	
生化	女浩克	Gawd69	2808	三组	
生化	女蜘蛛	Gawd69	3082	三组	
生化	黑蜘蛛	Gawd69	3145	三组	
生化	黄蜂	Gawd69	2938	三组	
生化	蜘蛛侠	Gawd69	8050	三组	
神秘	多满魔	Gawd69		三组	
神秘	博士	Gawd69	2817	三组	
神秘	巫医	Gawd69		三组	
神秘	恶灵	Gawd69		三组	
神秘	断头台	Gawd69	4094	三组	
神秘	hood	Gawd69		三组	
神秘	铁拳	Gawd69	3073	三组	
神秘	白铁拳	Gawd69		三组	
神秘	红坦克	Gawd69		三组	
神秘	洛基	Gawd69	6340	三组	
神秘	魔术女	Gawd69	5490	三组	
神秘	莫度	Gawd69	6568	三组	
神秘	女巫	Gawd69	5455	三组	
神秘	女雷神	Gawd69	3192	三组	
神秘	无敌钢人	Gawd69	3932	三组	
科技	毒奥创	Gawd69		三组	
宇宙	安吉拉	Terry		三组	
宇宙	黑蝠王	Terry	3102	三组	
宇宙	惊奇队长	Terry	2913	三组	
宇宙	杀戮	Terry		三组	
宇宙	德拉克斯	Terry	3909	三组	
宇宙	卡莫拉	Terry	3266	三组	
宇宙	格鲁特	Terry		三组	
宇宙	超人	Terry	4582	三组	
宇宙	黑妹	Terry		三组	
宇宙	king格鲁特	Terry		三组	
宇宙	惊奇小姐	Terry		三组	
宇宙	凤凰	Terry		三组	
宇宙	罗南	Terry		三组	
宇宙	共生体	Terry	2913	三组	
宇宙	究极钢铁侠	Terry	3011	三组	
宇宙	灭霸	Terry		三组	
宇宙	雷神	Terry		三组	
宇宙	毒液	Terry	2759	三组	
宇宙	毒液死侍	Terry	3008	三组	
科技	内战勇士	Terry		三组	
科技	霍华德	Terry	3057	三组	
科技	浩克毁灭者	Terry	2163	三组	
科技	钢铁侠	Terry		三组	
科技	钢铁爱国者	Terry	2947	三组	
科技	康	Terry		三组	
科技	星云	Terry		三组	
科技	punisher2099	Terry		三组	
科技	浣熊	Terry	3506	三组	
科技	科技蜘蛛	Terry		三组	
科技	星爵	Terry	5576	三组	
科技	影幻	Terry		三组	
科技	奥创	Terry	5704	三组	
科技	漫幻	Terry		三组	
科技	秃鹰	Terry		三组	
科技	战争机器	Terry	3106	三组	
科技	勇度	Terry		三组	
格斗	毒液特工	Terry	3064	三组	
格斗	黑豹	Terry	1451	三组	
格斗	内战黑豹	Terry	3285	三组	
格斗	黑寡妇	Terry	4428	三组	
格斗	交叉骨	Terry	3016	三组	
格斗	夜魔侠	Terry	3156	三组	
格斗	非经典夜魔侠	Terry		三组	
格斗	艾丽卡	Terry		三组	
格斗	猎鹰	Terry	3393	三组	
格斗	格纹死侍	Terry		三组	
格斗	鹰眼	Terry		三组	
格斗	卡尔耐克	Terry	3671	三组	
格斗	月光骑士	Terry	2809	三组	
格斗	惩罚者	Terry		三组	
格斗	冬兵	Terry	4006	三组	
生化	恶煞	Terry	1431	三组	
生化	蚁人	Terry	1362	三组	
生化	美国队长	Terry		三组	
生化	二战美队	Terry	5921	三组	
生化	电王	Terry	3361	三组	
生化	浩克	Terry	3845	三组	
生化	灰浩克	Terry	1480	三组	
生化	卢克凯奇	Terry		三组	
生化	余波	Terry	3248	三组	
生化	红浩克	Terry	3393	三组	
生化	犀牛	Terry		三组	
生化	女浩克	Terry		三组	
生化	女蜘蛛	Terry	1483	三组	
生化	黑蜘蛛	Terry		三组	
生化	黄蜂	Terry	4055	三组	
生化	蜘蛛侠	Terry	4083	三组	
神秘	多满魔	Terry	2911	三组	
神秘	博士	Terry		三组	
神秘	巫医	Terry	6586	三组	
神秘	恶灵	Terry	3186	三组	
神秘	断头台	Terry	3000	三组	
神秘	hood	Terry	3026	三组	
神秘	铁拳	Terry	3355	三组	
神秘	白铁拳	Terry		三组	
神秘	红坦克	Terry	2739	三组	
神秘	洛基	Terry	3565	三组	
神秘	魔术女	Terry	5519	三组	
神秘	莫度	Terry	4600	三组	
神秘	女巫	Terry	5352	三组	
神秘	女雷神	Terry	3136	三组	
神秘	无敌钢人	Terry		三组	
变异	天使	Terry	1640	三组	
变异	蓝兽	Terry		三组	
变异	电索	Terry	1594	三组	
变异	钢人	Terry		三组	
变异	独眼龙	Terry		三组	
变异	独眼龙90s	Terry	2921	三组	
变异	死侍	Terry		三组	
变异	x死侍	Terry	2968	三组	
变异	牌王	Terry		三组	
变异	冰人	Terry	3924	三组	
变异	万磁王	Terry	3208	三组	
变异	白色万磁王	Terry	3263	三组	
变异	夜行	Terry	4122	三组	
变异	灵蝶	Terry		三组	
变异	小淘气	Terry	4792	三组	
变异	暴风	Terry	3237	三组	
变异	金刚狼	Terry		三组	
变异	老年金刚狼	Terry	1133	三组	
变异	x23	Terry	5737	三组	
科技	章鱼博士	Terry		三组	
科技	绿魔	Terry		三组	
科技	毒奥创	Terry		三组	
宇宙	安吉拉	御龙邪		一组	
宇宙	黑蝠王	御龙邪	4024	一组	
宇宙	惊奇队长	御龙邪	5135	一组	
宇宙	杀戮	御龙邪	3107	一组	
宇宙	德拉克斯	御龙邪	4147	一组	
宇宙	卡莫拉	御龙邪	3160	一组	
宇宙	格鲁特	御龙邪	1725	一组	
宇宙	超人	御龙邪	4501	一组	
宇宙	黑妹	御龙邪	4235	一组	
宇宙	king格鲁特	御龙邪	1022	一组	
宇宙	惊奇小姐	御龙邪	4133	一组	
宇宙	凤凰	御龙邪	3301	一组	
宇宙	罗南	御龙邪	2630	一组	
宇宙	共生体	御龙邪	3138	一组	
宇宙	究极钢铁侠	御龙邪	5807	一组	
宇宙	灭霸	御龙邪		一组	
宇宙	雷神	御龙邪	5959	一组	
宇宙	毒液	御龙邪	2997	一组	
宇宙	毒液死侍	御龙邪	4240	一组	
科技	内战勇士	御龙邪	3319	一组	
科技	霍华德	御龙邪	2988	一组	
科技	浩克毁灭者	御龙邪	3086	一组	
科技	钢铁侠	御龙邪	3991	一组	
科技	钢铁爱国者	御龙邪	2991	一组	
科技	康	御龙邪		一组	
科技	星云	御龙邪		一组	
科技	punisher2099	御龙邪		一组	
科技	浣熊	御龙邪	6061	一组	
科技	科技蜘蛛	御龙邪		一组	
科技	星爵	御龙邪	5437	一组	
科技	影幻	御龙邪		一组	
科技	奥创	御龙邪	3689	一组	
科技	漫幻	御龙邪		一组	
科技	秃鹰	御龙邪		一组	
科技	战争机器	御龙邪	3140	一组	
科技	勇度	御龙邪		一组	
格斗	毒液特工	御龙邪	3000	一组	
格斗	黑豹	御龙邪	5709	一组	
格斗	内战黑豹	御龙邪	2898	一组	
格斗	黑寡妇	御龙邪	4311	一组	
格斗	交叉骨	御龙邪		一组	
格斗	夜魔侠	御龙邪	4114	一组	
格斗	非经典夜魔侠	御龙邪	2788	一组	
格斗	艾丽卡	御龙邪	4350	一组	
格斗	猎鹰	御龙邪		一组	
格斗	格纹死侍	御龙邪		一组	
格斗	鹰眼	御龙邪	4047	一组	
格斗	卡尔耐克	御龙邪	6326	一组	
格斗	月光骑士	御龙邪	3088	一组	
格斗	惩罚者	御龙邪	4094	一组	
格斗	冬兵	御龙邪	4017	一组	
生化	恶煞	御龙邪	2774	一组	
生化	蚁人	御龙邪	2892	一组	
生化	美国队长	御龙邪	4081	一组	
生化	二战美队	御龙邪	5774	一组	
生化	电王	御龙邪	4363	一组	
生化	浩克	御龙邪	4060	一组	
生化	灰浩克	御龙邪	3112	一组	
生化	卢克凯奇	御龙邪	2696	一组	
生化	余波	御龙邪	3187	一组	
生化	红浩克	御龙邪	5936	一组	
生化	犀牛	御龙邪	5054	一组	
生化	女浩克	御龙邪	4046	一组	
生化	女蜘蛛	御龙邪	2798	一组	
生化	黑蜘蛛	御龙邪	2818	一组	
生化	黄蜂	御龙邪	2870	一组	
生化	蜘蛛侠	御龙邪	3069	一组	
神秘	多满魔	御龙邪	2669	一组	
神秘	博士	御龙邪	4226	一组	
神秘	巫医	御龙邪	3482	一组	
神秘	恶灵	御龙邪	3137	一组	
神秘	断头台	御龙邪	4410	一组	
神秘	hood	御龙邪	3034	一组	
神秘	铁拳	御龙邪	4485	一组	
神秘	白铁拳	御龙邪		一组	
神秘	红坦克	御龙邪	2979	一组	
神秘	洛基	御龙邪	4917	一组	
神秘	魔术女	御龙邪	4152	一组	
神秘	莫度	御龙邪	6797	一组	
神秘	女巫	御龙邪	3129	一组	
神秘	女雷神	御龙邪	4288	一组	
神秘	无敌钢人	御龙邪	2753	一组	
变异	天使	御龙邪	2246	一组	
变异	蓝兽	御龙邪	3246	一组	
变异	电索	御龙邪	4483	一组	
变异	钢人	御龙邪	4030	一组	
变异	独眼龙	御龙邪	2944	一组	
变异	独眼龙90s	御龙邪	4275	一组	
变异	死侍	御龙邪		一组	
变异	x死侍	御龙邪	4314	一组	
变异	牌王	御龙邪		一组	
变异	冰人	御龙邪		一组	
变异	万磁王	御龙邪	4174	一组	
变异	白色万磁王	御龙邪	4255	一组	
变异	夜行	御龙邪	3076	一组	
变异	灵蝶	御龙邪		一组	
变异	小淘气	御龙邪	6218	一组	
变异	暴风	御龙邪	5622	一组	
变异	金刚狼	御龙邪	5118	一组	
变异	老年金刚狼	御龙邪		一组	
变异	x23	御龙邪	2913	一组	
科技	章鱼博士	御龙邪		一组	
科技	绿魔	御龙邪		一组	
科技	毒奥创	御龙邪		一组	
宇宙	安吉拉	卡尔		一组	
宇宙	黑蝠王	卡尔	3011	一组	
宇宙	惊奇队长	卡尔	3018	一组	
宇宙	杀戮	卡尔		一组	
宇宙	德拉克斯	卡尔	2881	一组	
宇宙	卡莫拉	卡尔		一组	
宇宙	格鲁特	卡尔	2920	一组	
宇宙	超人	卡尔	5689	一组	
宇宙	黑妹	卡尔		一组	
宇宙	king格鲁特	卡尔		一组	
宇宙	惊奇小姐	卡尔	2872	一组	
宇宙	凤凰	卡尔	3324	一组	
宇宙	罗南	卡尔		一组	
宇宙	共生体	卡尔		一组	
宇宙	究极钢铁侠	卡尔		一组	
宇宙	灭霸	卡尔		一组	
宇宙	雷神	卡尔	2914	一组	
宇宙	毒液	卡尔		一组	
宇宙	毒液死侍	卡尔		一组	
科技	内战勇士	卡尔		一组	
科技	霍华德	卡尔	3094	一组	
科技	浩克毁灭者	卡尔	3962	一组	
科技	钢铁侠	卡尔	3093	一组	
科技	钢铁爱国者	卡尔	2848	一组	
科技	康	卡尔		一组	
科技	星云	卡尔		一组	
科技	punisher2099	卡尔		一组	
科技	浣熊	卡尔		一组	
科技	科技蜘蛛	卡尔		一组	
科技	星爵	卡尔	5392	一组	
科技	影幻	卡尔	5145	一组	
科技	奥创	卡尔		一组	
科技	漫幻	卡尔		一组	
科技	秃鹰	卡尔		一组	
科技	战争机器	卡尔		一组	
科技	勇度	卡尔		一组	
格斗	毒液特工	卡尔	3337	一组	
格斗	黑豹	卡尔	3006	一组	
格斗	内战黑豹	卡尔		一组	
格斗	黑寡妇	卡尔		一组	
格斗	交叉骨	卡尔	4440	一组	
格斗	夜魔侠	卡尔	2773	一组	
格斗	非经典夜魔侠	卡尔	2779	一组	
格斗	艾丽卡	卡尔	7977	一组	
格斗	猎鹰	卡尔		一组	
格斗	格纹死侍	卡尔	4662	一组	
格斗	鹰眼	卡尔	2765	一组	
格斗	卡尔耐克	卡尔	3556	一组	
格斗	月光骑士	卡尔	3009	一组	
格斗	惩罚者	卡尔		一组	
格斗	冬兵	卡尔		一组	
生化	恶煞	卡尔		一组	
生化	蚁人	卡尔	2717	一组	
生化	美国队长	卡尔	2792	一组	
生化	二战美队	卡尔	5707	一组	
生化	电王	卡尔		一组	
生化	浩克	卡尔		一组	
生化	灰浩克	卡尔	3099	一组	
生化	卢克凯奇	卡尔	3086	一组	
生化	余波	卡尔	4657	一组	
生化	红浩克	卡尔		一组	
生化	犀牛	卡尔		一组	
生化	女浩克	卡尔	3077	一组	
生化	女蜘蛛	卡尔	2773	一组	
生化	黑蜘蛛	卡尔	3118	一组	
生化	黄蜂	卡尔	2836	一组	
生化	蜘蛛侠	卡尔	3950	一组	
神秘	多满魔	卡尔	4248	一组	
神秘	博士	卡尔	2872	一组	
神秘	巫医	卡尔	4717	一组	
神秘	恶灵	卡尔	3252	一组	
神秘	断头台	卡尔	2958	一组	
神秘	hood	卡尔	4516	一组	
神秘	铁拳	卡尔	3033	一组	
神秘	白铁拳	卡尔		一组	
神秘	红坦克	卡尔		一组	
神秘	洛基	卡尔	3128	一组	
神秘	魔术女	卡尔	5956	一组	
神秘	莫度	卡尔	4909	一组	
神秘	女巫	卡尔	4052	一组	
神秘	女雷神	卡尔		一组	
神秘	无敌钢人	卡尔		一组	
变异	天使	卡尔	4313	一组	
变异	蓝兽	卡尔		一组	
变异	电索	卡尔	3103	一组	
变异	钢人	卡尔		一组	
变异	独眼龙	卡尔	3137	一组	
变异	独眼龙90s	卡尔		一组	
变异	死侍	卡尔		一组	
变异	x死侍	卡尔		一组	
变异	牌王	卡尔		一组	
变异	冰人	卡尔	5833	一组	
变异	万磁王	卡尔	2969	一组	
变异	白色万磁王	卡尔	2910	一组	
变异	夜行	卡尔		一组	
变异	灵蝶	卡尔	3402	一组	
变异	小淘气	卡尔		一组	
变异	暴风	卡尔	3081	一组	
变异	金刚狼	卡尔		一组	
变异	老年金刚狼	卡尔	3079	一组	
变异	x23	卡尔	3924	一组	
科技	章鱼博士	卡尔		一组	
科技	绿魔	卡尔		一组	
科技	毒奥创	卡尔		一组	
宇宙	安吉拉	terror tutch		一组	
宇宙	黑蝠王	terror tutch	4096	一组	
宇宙	惊奇队长	terror tutch	5724	一组	
宇宙	杀戮	terror tutch	3112	一组	
宇宙	德拉克斯	terror tutch	3148	一组	
宇宙	卡莫拉	terror tutch	3295	一组	
宇宙	格鲁特	terror tutch	3153	一组	
宇宙	超人	terror tutch	6034	一组	
宇宙	黑妹	terror tutch	3281	一组	
宇宙	king格鲁特	terror tutch	2698	一组	
宇宙	惊奇小姐	terror tutch	3173	一组	
宇宙	凤凰	terror tutch	6756	一组	
宇宙	罗南	terror tutch	5620	一组	
宇宙	共生体	terror tutch	4191	一组	
宇宙	究极钢铁侠	terror tutch	5789	一组	
宇宙	灭霸	terror tutch		一组	
宇宙	雷神	terror tutch	5919	一组	
宇宙	毒液	terror tutch	4049	一组	
宇宙	毒液死侍	terror tutch	4156	一组	
科技	内战勇士	terror tutch	5951	一组	
科技	霍华德	terror tutch		一组	
科技	浩克毁灭者	terror tutch	3313	一组	
科技	钢铁侠	terror tutch	3826	一组	
科技	钢铁爱国者	terror tutch	4222	一组	
科技	康	terror tutch		一组	
科技	星云	terror tutch		一组	
科技	punisher2099	terror tutch	3492	一组	
科技	浣熊	terror tutch	4701	一组	
科技	科技蜘蛛	terror tutch		一组	
科技	星爵	terror tutch	5482	一组	
科技	影幻	terror tutch	5370	一组	
科技	奥创	terror tutch	5756	一组	
科技	漫幻	terror tutch	5888	一组	
科技	秃鹰	terror tutch		一组	
科技	战争机器	terror tutch	3076	一组	
科技	勇度	terror tutch		一组	
格斗	毒液特工	terror tutch	5896	一组	
格斗	黑豹	terror tutch	3062	一组	
格斗	内战黑豹	terror tutch	5646	一组	
格斗	黑寡妇	terror tutch	5827	一组	
格斗	交叉骨	terror tutch	5874	一组	
格斗	夜魔侠	terror tutch	5583	一组	
格斗	非经典夜魔侠	terror tutch	3101	一组	
格斗	艾丽卡	terror tutch	5830	一组	
格斗	猎鹰	terror tutch	3391	一组	
格斗	格纹死侍	terror tutch	6333	一组	
格斗	鹰眼	terror tutch	3859	一组	
格斗	卡尔耐克	terror tutch	3214	一组	
格斗	月光骑士	terror tutch	3098	一组	
格斗	惩罚者	terror tutch	4098	一组	
格斗	冬兵	terror tutch	3990	一组	
生化	恶煞	terror tutch	3170	一组	
